COMMUNE_NOM,SEXE,YEAR,POP65PLUS,PERC65PLUS
Colmar-Berg,M,2020,137.0,0.1481241215266515
Colmar-Berg,M,2021,139.0,0.1467390156873508
Colmar-Berg,M,2022,147.0,0.1506193837925346
Colmar-Berg,M,2023,142.0,0.1414864043522015
Colmar-Berg,M,2024,149.0,0.1434899845916795
Colmar-Berg,M,2025,150.0,0.1411047561709813
Consdorf,F,2020,152.0,0.1643420910368688
Consdorf,F,2021,167.0,0.1762979540991913
Consdorf,F,2022,165.0,0.1690625736446817
Consdorf,F,2023,162.0,0.1614140669370186
Consdorf,F,2024,172.0,0.1656394453004622
Consdorf,F,2025,181.0,0.1702664057796508
Consdorf,M,2020,154.0,0.1665044869715644
Consdorf,M,2021,162.0,0.1710195722399341
Consdorf,M,2022,162.0,0.1659887086693238
Consdorf,M,2023,167.0,0.1663959825832229
Consdorf,M,2024,184.0,0.1771956856702619
Consdorf,M,2025,188.0,0.1768512944009632
Contern,F,2020,387.0,0.4184236133636068
Contern,F,2021,389.0,0.4106581086502122
Contern,F,2022,432.0,0.4426365564515302
Contern,F,2023,446.0,0.4443868756414216
Contern,F,2024,448.0,0.4314329738058551
Contern,F,2025,469.0,0.4411875376279349
Contern,M,2020,348.0,0.3762568926370418
Contern,M,2021,348.0,0.3673753774043029
Contern,M,2022,362.0,0.3709130403598471
Contern,M,2023,369.0,0.3676653746898757
Contern,M,2024,378.0,0.3640215716486902
Contern,M,2025,390.0,0.3668723660445515
Dalheim,F,2020,191.0,0.2065088117634338
Dalheim,F,2021,193.0,0.2037455397673289
Dalheim,F,2022,201.0,0.2059489533489758
Dalheim,F,2023,197.0,0.1962874764604485
Dalheim,F,2024,211.0,0.2031972265023112
Dalheim,F,2025,219.0,0.2060129440096327
Dalheim,M,2020,175.0,0.1892096442858687
Dalheim,M,2021,179.0,0.1889660705614086
Dalheim,M,2022,188.0,0.1926288717890918
Dalheim,M,2023,190.0,0.1893127945557625
Dalheim,M,2024,204.0,0.1964560862865947
Dalheim,M,2025,208.0,0.1956652618904275
Diekirch,F,2020,750.0,0.8108984755108661
Diekirch,F,2021,767.0,0.8097037772100585
Diekirch,F,2022,799.0,0.8186727051036405
Diekirch,F,2023,802.0,0.7990992696511663
Diekirch,F,2024,808.0,0.7781201848998459
Diekirch,F,2025,824.0,0.7751354605659242
Diekirch,M,2020,538.0,0.581684506433128
Diekirch,M,2021,576.0,0.6080695901864325
Diekirch,M,2022,594.0,0.6086252651208541
Diekirch,M,2023,619.0,0.6167611570000897
Diekirch,M,2024,633.0,0.6095916795069337
Diekirch,M,2025,645.0,0.6067504515352197
Differdange,F,2020,1763.0,1.906152016434209
Differdange,F,2021,1788.0,1.887549352870384
Differdange,F,2022,1855.0,1.9006731764296037
Differdange,F,2023,1957.0,1.9499217839243543
Differdange,F,2024,2030.0,1.9549306625577807
Differdange,F,2025,2070.0,1.9472456351595424
Differdange,M,2020,1429.0,1.5450318953400368
Differdange,M,2021,1475.0,1.5571226484808818
Differdange,M,2022,1535.0,1.572794245724766
Differdange,M,2023,1602.0,1.5962057730438506
Differdange,M,2024,1651.0,1.5899460708782742
Differdange,M,2025,1691.0,1.5907209512341962
Dippach,F,2020,359.0,0.3881500702778679
Dippach,F,2021,376.0,0.3969343158161433
Dippach,F,2022,403.0,0.4129225283564044
Dippach,F,2023,428.0,0.4264519793150862
Dippach,F,2024,448.0,0.4314329738058551
Dippach,F,2025,458.0,0.4308398555087297
Dippach,M,2020,331.0,0.3578765271921288
Dippach,M,2021,341.0,0.3599856428013428
Dippach,M,2022,354.0,0.3627160670922262
Dippach,M,2023,358.0,0.3567051602682263
Dippach,M,2024,376.0,0.362095531587057
Dippach,M,2025,386.0,0.3631095725466586
Dudelange,F,2020,1906.0,2.060763325764948
Dudelange,F,2021,1937.0,2.044845132276249
Dudelange,F,2022,1989.0,2.037972478662254
Dudelange,F,2023,2033.0,2.02564690174666
Dudelange,F,2024,2084.0,2.00693374422188
Dudelange,F,2025,2128.0,2.001806140878988
Dudelange,M,2020,1527.0,1.6509892961401231
Dudelange,M,2021,1573.0,1.6605789329223235
Dudelange,M,2022,1616.0,1.655788600059428
Dudelange,M,2023,1645.0,1.6390502476012074
Dudelange,M,2024,1689.0,1.6265408320493064
Dudelange,M,2025,1751.0,1.6471628537025889
Echternach,F,2020,682.0,0.7373770137312141
Echternach,F,2021,679.0,0.7168042564871313
Echternach,F,2022,713.0,0.7305552424767154
Echternach,F,2023,713.0,0.7104211711487302
Echternach,F,2024,720.0,0.6933744221879815
Echternach,F,2025,724.0,0.6810656231186032
Echternach,M,2020,478.0,0.5168126283922586
Echternach,M,2021,480.0,0.5067246584886936
Echternach,M,2022,496.0,0.5082123425924978
Echternach,M,2023,494.0,0.4922132658449827
Echternach,M,2024,509.0,0.4901771956856702
Echternach,M,2025,512.0,0.481637567730283
Ell,F,2020,95.0,0.102713806898043
Ell,F,2021,97.0,0.1024006080695901
Ell,F,2022,102.0,0.1045114091621668
Ell,F,2023,105.0,0.1046202285702898
Ell,F,2024,119.0,0.1145993836671802
Ell,F,2025,123.0,0.1157059000602047
Ell,M,2020,88.0,0.0951454211266082
Ell,M,2021,84.0,0.0886768152355214
Ell,M,2022,91.0,0.093240570919188
Ell,M,2023,98.0,0.0976455466656038
Ell,M,2024,112.0,0.1078582434514637
Ell,M,2025,120.0,0.112883804936785
Erpeldange-sur-SÃ»re,F,2020,271.0,0.2930046491512595
Erpeldange-sur-SÃ»re,F,2021,260.0,0.2744758566813757
Erpeldange-sur-SÃ»re,F,2022,266.0,0.2725493611483959
Erpeldange-sur-SÃ»re,F,2023,276.0,0.2750017436704762
Erpeldange-sur-SÃ»re,F,2024,291.0,0.2802388289676426
Erpeldange-sur-SÃ»re,F,2025,297.0,0.279387417218543
Erpeldange-sur-SÃ»re,M,2020,205.0,0.2216455833063033
Erpeldange-sur-SÃ»re,M,2021,215.0,0.2269704199480607
Erpeldange-sur-SÃ»re,M,2022,223.0,0.2284906298349334
Erpeldange-sur-SÃ»re,M,2023,220.0,0.2192042884329882
Erpeldange-sur-SÃ»re,M,2024,236.0,0.2272727272727272
Erpeldange-sur-SÃ»re,M,2025,247.0,0.2323524984948826
Esch-sur-Alzette,F,2020,2908.0,3.1441236890474644
Esch-sur-Alzette,F,2021,2900.0,3.061461478369192
Esch-sur-Alzette,F,2022,2950.0,3.0226338924352185
Esch-sur-Alzette,F,2023,2964.0,2.953279595069896
Esch-sur-Alzette,F,2024,3009.0,2.8977272727272725
Esch-sur-Alzette,F,2025,3046.0,2.8653672486453945
Esch-sur-Alzette,M,2020,2246.0,2.428370634663207
Esch-sur-Alzette,M,2021,2243.0,2.367882102062792
Esch-sur-Alzette,M,2022,2253.0,2.3084725964937447
Esch-sur-Alzette,M,2023,2338.0,2.329543756165121
Esch-sur-Alzette,M,2024,2419.0,2.3295454545454546
Esch-sur-Alzette,M,2025,2500.0,2.3517459361830224
Esch-sur-SÃ»re,F,2020,176.0,0.1902908422532165
Esch-sur-SÃ»re,F,2021,179.0,0.1889660705614086
Esch-sur-SÃ»re,F,2022,189.0,0.1936534934475444
Esch-sur-SÃ»re,F,2023,201.0,0.200273008977412
Esch-sur-SÃ»re,F,2024,215.0,0.2070493066255778
Esch-sur-SÃ»re,F,2025,230.0,0.216360626128838
Esch-sur-SÃ»re,M,2020,180.0,0.1946156341226078
Esch-sur-SÃ»re,M,2021,189.0,0.1995228342799231
Esch-sur-SÃ»re,M,2022,200.0,0.2049243316905232
Esch-sur-SÃ»re,M,2023,207.0,0.2062513077528571
Esch-sur-SÃ»re,M,2024,219.0,0.2109013867488443
Esch-sur-SÃ»re,M,2025,235.0,0.2210641180012041
Ettelbruck,F,2020,874.0,0.944967023461996
Ettelbruck,F,2021,897.0,0.9469417055507464
Ettelbruck,F,2022,917.0,0.9395780608010492
